,internet_service_type_id,payment_type_id,contract_type_id,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,payment_type,internet_service_type
0,1,2,2,0002-ORFBO,Female,0,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,Yes,65.6,593.3,No,One year,Mailed check,DSL
1,1,2,1,0003-MKNFE,Male,0,No,No,9,Yes,Yes,No,No,No,No,No,Yes,No,59.9,542.4,No,Month-to-month,Mailed check,DSL
2,2,1,1,0004-TLHLJ,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,73.9,280.85,Yes,Month-to-month,Electronic check,Fiber optic
3,2,1,1,0011-IGKFF,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,98.0,1237.85,Yes,Month-to-month,Electronic check,Fiber optic
4,2,2,1,0013-EXCHZ,Female,1,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,Yes,83.9,267.4,Yes,Month-to-month,Mailed check,Fiber optic
5,1,4,1,0013-MHZWF,Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,Yes,69.4,571.45,No,Month-to-month,Credit card (automatic),DSL
6,2,3,3,0013-SMEOE,Female,1,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,No,Two year,Bank transfer (automatic),Fiber optic
7,2,4,3,0014-BMAQU,Male,0,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,Yes,84.65,5377.8,No,Two year,Credit card (automatic),Fiber optic
8,1,1,1,0015-UOCOJ,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,48.2,340.35,No,Month-to-month,Electronic check,DSL
9,1,2,3,0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.45,5957.9,No,Two year,Mailed check,DSL
10,1,4,3,0017-DINOC,Male,0,No,No,54,No,No phone service,Yes,No,No,Yes,Yes,No,No,45.2,2460.55,No,Two year,Credit card (automatic),DSL
11,2,4,3,0017-IUDMW,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.8,8456.75,No,Two year,Credit card (automatic),Fiber optic
12,2,1,1,0018-NYROU,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,Yes,68.95,351.5,No,Month-to-month,Electronic check,Fiber optic
13,2,3,3,0019-EFAEP,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,101.3,7261.25,No,Two year,Bank transfer (automatic),Fiber optic
14,1,3,3,0019-GFNTW,Female,0,No,No,56,No,No phone service,Yes,Yes,Yes,Yes,No,No,No,45.05,2560.1,No,Two year,Bank transfer (automatic),DSL
15,2,4,3,0020-INWCK,Female,0,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,95.75,6849.4,No,Two year,Credit card (automatic),Fiber optic
16,1,2,2,0020-JDNXP,Female,0,Yes,Yes,34,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,No,61.25,1993.2,No,One year,Mailed check,DSL
17,2,1,1,0021-IKXGC,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,72.1,72.1,No,Month-to-month,Electronic check,Fiber optic
18,1,4,2,0022-TCJCI,Male,1,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,No,62.7,2791.5,Yes,One year,Credit card (automatic),DSL
19,1,1,1,0023-HGHWL,Male,1,No,No,1,No,No phone service,No,No,No,No,No,No,Yes,25.1,25.1,Yes,Month-to-month,Electronic check,DSL
20,3,1,2,0023-UYUPN,Female,1,Yes,No,50,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.2,1306.3,No,One year,Electronic check,None
21,2,1,1,0023-XUOPT,Female,0,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,94.1,1215.6,Yes,Month-to-month,Electronic check,Fiber optic
22,2,1,1,0027-KWYKW,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,Yes,83.75,1849.95,No,Month-to-month,Electronic check,Fiber optic
23,3,2,1,0030-FNXPP,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,57.2,No,Month-to-month,Mailed check,None
24,3,2,1,0031-PVLZI,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.35,76.35,Yes,Month-to-month,Mailed check,None
25,1,3,1,0032-PGELS,Female,0,Yes,Yes,1,No,No phone service,Yes,No,No,No,No,No,No,30.5,30.5,Yes,Month-to-month,Bank transfer (automatic),DSL
26,2,3,2,0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,103.7,5656.75,No,One year,Bank transfer (automatic),Fiber optic
27,3,4,3,0040-HALCW,Male,0,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.4,1090.6,No,Two year,Credit card (automatic),None
28,3,3,2,0042-JVWOJ,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.6,471.85,No,One year,Bank transfer (automatic),None
29,3,3,3,0042-RLHYP,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.7,1396.9,No,Two year,Bank transfer (automatic),None
30,2,4,2,0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,No,91.2,3247.55,No,One year,Credit card (automatic),Fiber optic
31,3,3,2,0048-PIHNL,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.45,900.9,No,One year,Bank transfer (automatic),None
32,2,3,2,0052-DCKON,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.8,7942.15,No,One year,Bank transfer (automatic),Fiber optic
33,3,1,2,0052-YNYOT,Female,0,No,No,67,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.55,1343.4,No,One year,Electronic check,None
34,1,4,3,0056-EPFBG,Male,0,Yes,Yes,20,No,No phone service,Yes,No,Yes,Yes,No,No,Yes,39.4,825.4,No,Two year,Credit card (automatic),DSL
35,3,1,3,0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,25.1,1070.15,No,Two year,Electronic check,None
36,2,3,1,0058-EVZWM,Female,0,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,Yes,89.8,4959.6,No,Month-to-month,Bank transfer (automatic),Fiber optic
37,2,1,1,0060-FUALY,Female,0,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,94.75,5597.65,No,Month-to-month,Electronic check,Fiber optic
38,3,3,3,0064-SUDOG,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.3,224.5,No,Two year,Bank transfer (automatic),None
39,2,3,1,0064-YIJGF,Male,0,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,Yes,75.75,1929,No,Month-to-month,Bank transfer (automatic),Fiber optic
40,1,1,1,0067-DKWBL,Male,1,No,No,2,Yes,No,Yes,No,No,No,No,No,Yes,49.25,91.1,Yes,Month-to-month,Electronic check,DSL
41,1,2,2,0068-FIGTF,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,No,One year,Mailed check,DSL
42,3,4,3,0071-NDAFP,Male,0,Yes,Yes,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.5,630.6,No,Two year,Credit card (automatic),None
43,1,3,2,0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611,No,One year,Bank transfer (automatic),DSL
44,1,2,1,0076-LVEPS,Male,0,No,Yes,29,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes,45.0,1242.45,No,Month-to-month,Mailed check,DSL
45,1,3,3,0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,No,Two year,Bank transfer (automatic),DSL
46,1,4,2,0080-EMYVY,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,No,One year,Credit card (automatic),DSL
47,2,1,2,0080-OROZO,Female,0,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.25,3532,No,One year,Electronic check,Fiber optic
48,1,2,1,0082-LDZUE,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,No,Month-to-month,Mailed check,DSL
49,2,1,1,0082-OQIQY,Male,0,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,Yes,94.2,2607.6,No,Month-to-month,Electronic check,Fiber optic
50,1,1,2,0083-PIVIK,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,No,One year,Electronic check,DSL
51,2,4,1,0089-IIQKO,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,99.95,3767.4,No,Month-to-month,Credit card (automatic),Fiber optic
52,2,1,1,0093-EXYQL,Female,1,No,No,40,Yes,No,No,No,No,No,Yes,Yes,Yes,91.55,3673.6,No,Month-to-month,Electronic check,Fiber optic
53,2,4,1,0093-XWZFY,Male,0,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.5,4036.85,Yes,Month-to-month,Credit card (automatic),Fiber optic
54,2,1,1,0094-OIFMO,Female,1,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,Yes,95.0,1120.3,Yes,Month-to-month,Electronic check,Fiber optic
55,1,1,1,0096-BXERS,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,No,Month-to-month,Electronic check,DSL
56,1,2,1,0096-FCPUF,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,No,Month-to-month,Mailed check,DSL
57,3,1,1,0098-BOWSO,Male,0,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.4,529.8,No,Month-to-month,Electronic check,None
58,2,1,2,0100-DUVFC,Male,1,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.8,7308.95,No,One year,Electronic check,Fiber optic
59,2,3,2,0103-CSITQ,Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.4,6252.7,No,One year,Bank transfer (automatic),Fiber optic
60,1,4,2,0104-PPXDV,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,No,One year,Credit card (automatic),DSL
61,1,3,1,0106-GHRQR,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,No,Month-to-month,Bank transfer (automatic),DSL
62,2,1,3,0106-UGRDO,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.0,8182.85,No,Two year,Electronic check,Fiber optic
63,3,1,1,0107-WESLM,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.85,19.85,Yes,Month-to-month,Electronic check,None
64,2,1,1,0107-YHINA,Male,0,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.75,99.75,Yes,Month-to-month,Electronic check,Fiber optic
65,2,2,1,0111-KLBQG,Male,1,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,Yes,93.95,2861.45,No,Month-to-month,Mailed check,Fiber optic
